CA,AB,Alberta
CA,BC,British Columbia
CA,MB,Manitoba
CA,NB,New Brunswick
CA,NL,Newfoundland
CA,NS,Nova Scotia
CA,NU,Nunavut
CA,ON,Ontario
CA,PE,Prince Edward Island
CA,QC,Quebec
CA,SK,Saskatchewan
CA,NT,Northwest Territories
CA,YT,Yukon Territory
US,AA,Armed Forces Americas
US,AE,Armed Forces Europe/Middle East/Canada
US,AK,Alaska
US,AL,Alabama
US,AP,Armed Forces Pacific
US,AR,Arkansas
US,AS,American Samoa
US,AZ,Arizona
US,CA,California
US,CO,Colorado
US,CT,Connecticut
US,DC,District of Columbia
US,DE,Delaware
US,FL,Florida
US,FM,Federated States of Micronesia
US,GA,Georgia
US,GU,Guam
US,HI,Hawaii
US,IA,Iowa
US,ID,Idaho
US,IL,Illinois
US,IN,Indiana
US,KS,Kansas
US,KY,Kentucky
US,LA,Louisiana
US,MA,Massachusetts
US,MD,Maryland
US,ME,Maine
US,MH,Marshall Islands
US,MI,Michigan
US,MN,Minnesota
US,MO,Missouri
US,MP,Northern Mariana Islands
US,MS,Mississippi
US,MT,Montana
US,NC,North Carolina
US,ND,North Dakota
US,NE,Nebraska
US,NH,New Hampshire
US,NJ,New Jersey
US,NM,New Mexico
US,NV,Nevada
US,NY,New York
US,OH,Ohio
US,OK,Oklahoma
US,OR,Oregon
US,PA,Pennsylvania
US,PR,Puerto Rico
US,PW,Palau
US,RI,Rhode Island
US,SC,South Carolina
US,SD,South Dakota
US,TN,Tennessee
US,TX,Texas
US,UT,Utah
US,VA,Virginia
US,VI,Virgin Islands
US,VT,Vermont
US,WA,Washington
US,WV,West Virginia
US,WI,Wisconsin
US,WY,Wyoming
AD,2,Canillo
AD,3,Encamp
AD,4,La Massana
AD,5,Ordino
AD,6,Sant Julia de Loria
AD,7,Andorra la Vella
AD,8,Escaldes-Engordany
AE,1,Abu Dhabi
AE,2,Ajman
AE,3,Dubai
AE,4,Fujairah
AE,5,Ras Al Khaimah
AE,6,Sharjah
AE,7,Umm Al Quwain
AF,1,Badakhshan
AF,2,Badghis
AF,3,Baghlan
AF,5,Bamian
AF,6,Farah
AF,7,Faryab
AF,8,Ghazni
AF,9,Ghowr
AF,10,Helmand
AF,11,Herat
AF,13,Kabol
AF,14,Kapisa
AF,17,Lowgar
AF,18,Nangarhar
AF,19,Nimruz
AF,23,Kandahar
AF,24,Kondoz
AF,26,Takhar
AF,27,Vardak
AF,28,Zabol
AF,29,Paktika
AF,30,Balkh
AF,31,Jowzjan
AF,32,Samangan
AF,33,Sar-e Pol
AF,34,Konar
AF,35,Laghman
AF,36,Paktia
AF,37,Khowst
AF,38,Nurestan
AF,39,Oruzgan
AF,40,Parvan
AF,41,Daykondi
AF,42,Panjshir
AG,1,Barbuda
AG,3,Saint George
AG,4,Saint John
AG,5,Saint Mary
AG,6,Saint Paul
AG,7,Saint Peter
AG,8,Saint Philip
AG,9,Redonda
AL,40,Berat
AL,41,Diber
AL,42,Durres
AL,43,Elbasan
AL,44,Fier
AL,45,Gjirokaster
AL,46,Korce
AL,47,Kukes
AL,48,Lezhe
AL,49,Shkoder
AL,50,Tirane
AL,51,Vlore
AM,1,Aragatsotn
AM,2,Ararat
AM,3,Armavir
AM,4,Geghark'unik'
AM,5,Kotayk'
AM,6,Lorri
AM,7,Shirak
AM,8,Syunik'
AM,9,Tavush
AM,10,Vayots' Dzor
AM,11,Yerevan
AO,1,Benguela
AO,2,Bie
AO,3,Cabinda
AO,4,Cuando Cubango
AO,5,Cuanza Norte
AO,6,Cuanza Sul
AO,7,Cunene
AO,8,Huambo
AO,9,Huila
AO,12,Malanje
AO,13,Namibe
AO,14,Moxico
AO,15,Uige
AO,16,Zaire
AO,17,Lunda Norte
AO,18,Lunda Sul
AO,19,Bengo
AO,20,Luanda
AR,1,Buenos Aires
AR,2,Catamarca
AR,3,Chaco
AR,4,Chubut
AR,5,Cordoba
AR,6,Corrientes
AR,7,Distrito Federal
AR,8,Entre Rios
AR,9,Formosa
AR,10,Jujuy
AR,11,La Pampa
AR,12,La Rioja
AR,13,Mendoza
AR,14,Misiones
AR,15,Neuquen
AR,16,Rio Negro
AR,17,Salta
AR,18,San Juan
AR,19,San Luis
AR,20,Santa Cruz
AR,21,Santa Fe
AR,22,Santiago del Estero
AR,23,Tierra del Fuego
AR,24,Tucuman
AT,1,Burgenland
AT,2,Karnten
AT,3,Niederosterreich
AT,4,Oberosterreich
AT,5,Salzburg
